VENDOR NUMBER,VENDOR NAME 1,VENDOR ADDRESS 1,VENDOR NAME 2,VENDOR ADDRESS 2,VENDOR CITY,VENDOR STATE,VENDOR ZIP,VENDOR COUNTRY,VENDOR CONTACT NAME,VENDOR CONTACT TITLE,VENDOR CONTACT PHONE,VENDOR CONTACT EXTENSION,VENDOR MINORITY CODE
19856,AMERICAN AIR FILTER INTERNATIONAL,900 CORPORATE CAMPUS DR,,,LOUISVILLE,KY,40223,UNITED STATES,LISA BRADLAU,,,,
19865,J & W CONTRACTORS INC,15541 MALVERN HILL,,,BATON ROUGE,LA,70817,UNITED STATES,GEORGE H WALL,SEC/TREAS,,,
19904,EDWARD BENTIN ARCHITECT,2600 GOVERNMENT ST,,,BATON ROUGE,LA,70806,UNITED STATES,ED BENTIN,ARCHITECT,,,
19912,YWCA OF GREATER BATON ROUGE,8281 GOODWOOD BOULEVARD SUITE B1,,,BATON ROUGE,LA,70806,UNITED STATES,,,,,
19940,HARTMAN ENGINEERING INC,18169 E PETROLEUM DR BLDG 9 STE A,,,BATON ROUGE,LA,70809,UNITED STATES,JARED MONCEAUX,,,,
19977,NATIONAL SEMINARS TRAINING,P O BOX 419107,DIV OF ROCKHURST UNIV CONT EDUC CTR,,KANSAS CITY,MO,64141-6107,UNITED STATES,,,,,
19993,CENTRAL PLUMBING COMPANY INC,7000 GREENWELL SPRINGS ROAD,,,BATON ROUGE,LA,70805,UNITED STATES,**3/27/09 CHNG OF ADDRESS,,,,
20033,PRECISION METAL SERVICES INC,2514 SOUTH PHILIPPE STREET,,,GONZALES,LA,70737,UNITED STATES,SAM RICHARDSON,OUTSIDE SALES,,,
20085,DOOLEY TACKABERRY INC,17164 GROVE DR,,,PRAIRIEVILLE,LA,70769,UNITED STATES,KEN SIGSWORTH,DIST SALES MGR,,,
20088,ZOLL MEDICAL CORP,269 MILL RD,,,CHELMSFORD,MA,01824-4105,UNITED STATES,CHRIS FLANAGAN,CELL,,,
20106,GILL INDUSTRIES LTD,1718 ENGINEERS ROAD SUITE B,,,BELLE CHASSE,LA,70037,UNITED STATES,N L CURRAULT III (JACK),PRESIDENT,,,
20114,FLAGS & MORE,1555 MUNSON DR,,,SLAUGHTER,LA,70777-9604,UNITED STATES,,,,,
20215,BIG RIVER ECONOMIC & AGRICULTURAL,402 N 4TH ST,DEVELOPMENT ALLIANCE/BREADA,,BATON ROUGE,LA,70802,UNITED STATES,COPPER ALVAREZ,CELL,,,
20284,INWOOD OFFICE ENVIRONMENTS,P O BOX 646,,,JASPER,IN,47547-0646,UNITED STATES,MISSI OR JAYME,,,,
20302,KASUNDRA CYRUS,248 DONOVAN CT,,,BATON ROUGE,LA,70815-6406,UNITED STATES,,,,,
20454,GREATER MOUNT OLIVE BAPTIST,3155 VICTORIA DR,MISSIONARY CHURCH,,BATON ROUGE,LA,70805,UNITED STATES,JACQUELINE DIXON,,,,MN
20501,LARRY DONOGHUE & ASSOCIATES INC,1550 N NORTHWEST HWY STE 334,,,PARK RIDGE,IL,60068,UNITED STATES,LARRY DONOGHUE,PRESIDENT,,,
20509,LOUIS R MINSKY M D,8595 PICARDY AVE STE 100,,,BATON ROUGE,LA,70809,UNITED STATES,,,,,
20521,WORLDPOINT ECC INC,1326 S WOLF RD,,,WHEELING,IL,60090,UNITED STATES,,,,,
20623,GULF ATLANTIC FLOOR SYSTEMS INC,120 LONE WOLF DRIVE,,,MADISON,MS,39110,UNITED STATES,LANCE LEE,CELL,,,
20631,URBAN RESTORATION ENHANCEMENT CORP,7332 GOODWOOD BLVD STE 204,,,BATON ROUGE,LA,70806,UNITED STATES,URBAN VILLA & URBAN MEADOW,,,,
20661,"COMPLIANCE ENVIRO SYSTEMS, LLC",1401 SEABOARD DR,ATTN CORKY,,BATON ROUGE,LA,70810,UNITED STATES,,,,,
20773,ENVIRONMENTAL SYSTEMS RESEARCH,380 NEW YORK STREET,INSTITUTE INC (ESRI),,REDLANDS,CA,92373-8100,UNITED STATES,JASON BURNBY,VENDOR REG COOR,,,
20793,MONROE & CORIE INC,11325 PENNYWOOD AVE,,,BATON ROUGE,LA,70809,UNITED STATES,BILL MONROE,"P E, P L S",,,
20811,GM CABLE CONTRACTORS INC,9232 JOOR RD,,,BATON ROUGE,LA,70818,UNITED STATES,JOE RICKARD JR,SALESMAN/PROJ,,,
20829,PROVANTAGE,7249 WHIPPLE AVE NW,,,NORTH CANTON,OH,44720-7143,UNITED STATES,BRUCE YARBROUGH,,,,
20911,GREATER BATON ROUGE FOOD BANK,P O BOX 45830,ATTN JENNA SCHEXNAYDER,,BATON ROUGE,LA,70895-4830,UNITED STATES,**ADDRESS UPDATED PER LETTER,,,,
21043,CLEVE DUNN SR,13815 HOUSE OF LANCASTER DR,,,BATON ROUGE,LA,70816,UNITED STATES,,,,,
21067,DMI COMMERCIAL PAINT & BODY SERVICE,7514 HOOPER RD,,,BATON ROUGE,LA,70811,UNITED STATES,RICHARD MATHEWS,PRESIDENT,,,
21168,THE SNO-MOBILE,6759 QUAY ST,,,ARVADA,CO,80003-4047,UNITED STATES,,,,,
21176,TEAM HONDA,6363 SIEGEN LN,,,BATON ROUGE,LA,70809,UNITED STATES,SHANE BERCEGEAY,SALES DIRECTOR,,,
21177,MMR GROUP INC,15961 AIRLINE HWY,,,BATON ROUGE,LA,70817,UNITED STATES,JEFF ESCUE,,,,
21258,STROUBES CHOPHOUSE,107 3RD ST,,,BATON ROUGE,LA,70801-1302,UNITED STATES,REC'D W-9 FRM SC 8/23/13,,,,
21469,JANWAY COMPANY USA INC,11 ACADEMY ROAD,,,COGAN STATION,PA,17728-9300,UNITED STATES,PATTY ZERPHEY,SALES CONSULT,,,
21600,DRAPES UNLIMITED INC,5664 STUMBERG LANE,,,BATON ROUGE,LA,70816,UNITED STATES,PAM POURCIAU,,,,NON-M WBE
21608,ELITE CLEANING SERVICES,7575 JEFFERSON HIGHWAY SUITE 113,,,BATON ROUGE,LA,70806,UNITED STATES,MARY H JACKSON,OWNER,,102,MNW
21613,DISK-O-TAPE INC,23775 MERCANTILE ROAD,,,CLEVELAND,OH,44122-5990,UNITED STATES,,,,,
21761,SVI TRAINING PRODUCTS INC,7770 REGENTS ROAD SUITE 113-529,,,SAN DIEGO,CA,92122,UNITED STATES,ALAN WOLMER,,,,
21930,RHINO LOUISIANA LLC,P O BOX 1678,,,TEMPE,AZ,85280,UNITED STATES,RAY CULLEN,CELL,,,
21999,THYSSENKRUPP ELEVATORS CO,10237 MAMMOTH AVE,,,BATON ROUGE,LA,70814,UNITED STATES,DAVID GOVER,CELL,,,
22069,PIPE TECH INC,PO BOX 8853,,,MANDEVILLE,LA,70470,UNITED STATES,FRANK SMITH,,,,
22075,LABORATORY CORPORATION OF AMERICA,P O BOX 12140,HOLDINGS,,BURLINGTON,NC,27216-2140,UNITED STATES,,,,,
22167,S L SHAW & ASSOCIATES INC,P O BOX 84273,,,BATON ROUGE,LA,70884,UNITED STATES,NEW ADDRESS CALLED IN BY,,,,
22184,MOBILE TEMP INC,35117 HWY 30,,,GEISMAR,LA,70734,UNITED STATES,ANNA CROCHET,OFFICE MGR,,,
22196,SGI HOLDINGS LLC,3204 S BURNSIDE AVE,D/B/A STRUCTURAL PRESERVATION SYSTEM,,GONZALES,LA,70737,UNITED STATES,WILL HAXTHAUSEN,CELL,,,
22202,COMPROD COMMUNICATIONS LTD,3405 N BENZING RD,,,ORCHARD PARK,NY,14127,UNITED STATES,MEERA SAINA,,,,
22303,AMSAFE INC/SAFETY2GO FIRE & RESCUE,22937 GALLATIN WAY,,,ELKART,IN,46514,UNITED STATES,WADE JOHNSON,CELL,,,
22319,NYCOM INC,14200 MICHAUX GLEN DR,,,MIDLOTHIAN,VA,23113-6876,UNITED STATES,,,,,
22357,TRISTAR GLOBAL LLC,10087 SUNNY CLINE DR,LESLIE PARMS III,,BATON ROUGE,LA,70814-4538,UNITED STATES,LESLIE PARMS III,,,,
22365,DIVERSIFIED INSPECTIONS,P O BOX 37109,ITL INC,,PHOENIX,AZ,85069,UNITED STATES,DAVID T BIGFORD,,,,
22419,COM-NET SERVICES INC,P O BOX 318207,,,BATON ROUGE,LA,70831,UNITED STATES,VINCE THIBODAUX,OWNER,,,
22489,PLAY WITH A PURPOSE,NW 5634998,,P O BOX 1450,MINNEAPOLIS,MN,55485,UNITED STATES,,,,,
22507,AUTO PARTS & SUPPLIES LLC,9355 FLORIDA BLVD,D/B/A NAPA AUTO PARTS,,BATON ROUGE,LA,70815,UNITED STATES,**ALL PAYMENTS TO THIS ADDRESS,****,,,
22631,VOLUNTEER BATON ROUGE,460 NORTH 11TH STREET,,,BATON ROUGE,LA,70802,UNITED STATES,,,,,
22719,HABITAT FOR HUMANITY OF GREATER,6554 FLORIDA BLVD SUITE 200,BATON ROUGE,,BATON ROUGE,LA,70806,UNITED STATES,,,,,
22764,FAYE FERDINAND,1246 VERDUN DRIVE,,,BATON ROUGE,LA,70810,UNITED STATES,,,,,
23013,POWER SYSTEMS INC,P O BOX 51030,,,KNOXVILLE,TN,37950,UNITED STATES,REBECKA EASTERDAY,,,,
23031,PAS SYSTEMS INTERNATIONAL,PO BOX 330,,,FREDERICKSBURG,VA,22404-0330,UNITED STATES,,,,,
23037,KAREN MARCHAND,2730 PINE THICKET AVENUE,D/B/A PROJECT SUCCESS INC,,ZACHARY,LA,70791,UNITED STATES,KAREN MARCHAND,OWNER,,,NON-M WBE
23126,AIRGAS SAFETY INC,2501 GREEN LN,,,LEVITOWN,PA,19057,UNITED STATES,RAMONA LASCHET,,,,
23280,ERWIN L SMITH,13185 COURSEY BLVD,D/B/A ABC HOME IMPROVEMENTS,,BATON ROUGE,LA,70816,UNITED STATES,ERWIN L SMITH,CELL,,,
23307,PRO PULL LLC,P O BOX 315,,,GREENWELL SPRINGS,LA,70739-0315,UNITED STATES,JUANITA,,,,
23325,LANDSOURCE INC,6730 EXCHEQUER DR,,,BATON ROUGE,LA,70809,UNITED STATES,DAVID PATTERSON,PLS,,,
23356,HOIST & CRANE SERVICE GROUP,9221 RATON AVE,,,BATON ROUGE,LA,70123,UNITED STATES,PETER DOSKEY,,,,
23373,CAJUN SPRAYING EQUIPMENT INC,P O BOX 618,,,ST MARTINVILLE,LA,70582,UNITED STATES,BRENT CROCHET,CELL,,,MN
23396,VIDRINE'S PORTABLE BUILDING,1805 N CEDAR AVE,,,GONZALES,LA,70737,UNITED STATES,RICK VIDRINE,OWNER,,,
23443,BATON ROUGE COMMUNITY COLLEGE,5310 FLORIDA BLVD,,,BATON ROUGE,LA,70806,UNITED STATES,***SEE V#48961 FOR BOOKSTORE**,,,,
23504,BETA TECHNOLOGY INC,16802 BARKER SPRING STE 550,,,HOUSTON,TX,77084,UNITED STATES,,,,,
23598,B & B AUTOMOTIVE,11810 BOYLAN ST,BLUES ENTERPRISES,,BATON ROUGE,LA,70809,UNITED STATES,**AKA BLUES AUTO PARTS** ALL,,,,
23621,TIPTON ASSOCIATES APAC,449 WESTMORELAND DR,,,BATON ROUGE,LA,70806,UNITED STATES,,,,,
23726,EARL'S ELECTRIC COMPANY,31795 WALKER NORTH ROAD HWY 447,,,WALKER,LA,70785,UNITED STATES,LANE CHANEY,OWNER,,,MN
23729,INSIGHT PUBLIC SECTOR,ATTN NW1141,,6820 SOUTH HARL AVE,TEMPE,AZ,85283,UNITED STATES,TONI D ESTRIES,,,5290,
23734,SALVATION ARMY OF BATON ROUGE,P O BOX 15467,,,BATON ROUGE,LA,70895-5467,UNITED STATES,**7/14/10 CHANGED PER-,,,,
23850,SEMS INC,11628 SOUTH CHOCTAW DR,,,BATON ROUGE,LA,70815,UNITED STATES,MARK L MORGAN,,,,
23927,NATIONAL ARCHIVES TRUST FUND BOARD,8601 ADELPHI ROAD,CASHIER (NAT) FORM 72 ORDER,,COLLEGE PARK,MD,20740-6001,UNITED STATES,,,,,
23958,W S DARLEY CO,325 SPRINGLAKE DR,,,ITASCA,IL,60666-0973,UNITED STATES,TASHA FERGUSON,,,314,
24129,WARREN INC,707 NORTH FIR,,,COLLINS,MS,39428,UNITED STATES,CINDY SLADE,DIR SALES COOR,,,
24188,PREVISOR,1805 OLD ALABAMA RD STE 150,,,ROSWELL,GA,30076,UNITED STATES,ERIC RUBENSTEIN,ACCT EXEC,,,
24363,CONCRETE & STEEL ERECTORS LLC,P O BOX 15946,,,BATON ROUGE,LA,70895,UNITED STATES,FORMERLY CAPITAL CRANE RENTALS,,,,
24380,HAMP'S CONSTRUCTION LLC,1319 NEWTON STREET,,,NEW ORLEANS,LA,70114,UNITED STATES,LOUIS BADALAMENTI,"BIDS, PROP & AD",,,BLK AMER
24426,PIERRE CRAWDEAUX CO INC,3358 DRUSILLA LANE 4D,,,BATON ROUGE,LA,70809,UNITED STATES,RAY BOURGEOIS,VICE PRESIDENT,,,NON-M WBE
24467,CHARLES CARTER CONSTRUCTION CO INC,1565 CHOCTAW DR,,,BATON ROUGE,LA,70805,UNITED STATES,RENNIE N CARTER,PRESIDENT,,,
24528,NATIONAL BUS SALES & LEASING INC,POST OFFICE BOX 6549,,,MARIETTA,GA,30065,UNITED STATES,KARLA LYNCH,SALES COORD,,,
24529,C ROBERT DILLEMUTH,5848 GUAVA DRIVE,,,BATON ROUGE,LA,70808,UNITED STATES,BOB DILLEMUTH,CONTRACTOR,,,
24533,U S PEROXIDE LLC,1375 PEACHTREE ST STE 300 N,D/B/A USP TECHNOLOGIES,,ATLANTA,GA,30309,UNITED STATES,ANDREW NANGANO,,,,
24591,DPC ENTERPRISES LP,620 WEST 10TH AVE,,,RESERVE,LA,70084,UNITED STATES,CHAD VERMILLION,FACILITY MGR,,,
24688,PERVASIVE SOFTWARE INC,12365 RIATA TRACE PKWY SUITE B,,,AUSTIN,TX,78727,UNITED STATES,CHERYL HENRY,,,,
24731,ADVANCED IMAGING SOLUTIONS INC,3925 N I-10 SERVICE RD WEST STE 131,,,METAIRIE,LA,70002,UNITED STATES,,,,,
24855,SHI,290 DAVIDSON AVE,ATTN LA GOV,,SOMERSET,NJ,8873,UNITED STATES,JAY BUONVIRI,,,,MNW
24856,METHODS TECHNOLOGY SOLUTIONS INC,4734 JAMESTOWN AVE,,,BATON ROUGE,LA,70808,UNITED STATES,DEBRA G LAZARE,VICE PRESIDENT,,,BLK AMER
24921,SUPERIOR FLOORING & CONSTRUCTION,7743 HWY 1 SOUTH SUITE A,LLC,,ADDIS,LA,70710,UNITED STATES,,,,,
24930,STAGING CONCEPTS ACQUISITION LLC,7008 NORTHLAND DR SUITE 150,D/B/A STAGING CONCEPTS,,BROOKLYN PARK,MN,55428,UNITED STATES,MATT HUEBSCH,,,,
24974,VIRGINIA FAYE PHILLIPS,718 BANCROFT WAY,V F PHILLIPS CONSULTING,,BATON ROUGE,LA,70808,UNITED STATES,,,,,
25042,BAYSCAN TECHNOLOGIES,33549 E ROYALTON ROAD #3,,,COLUMBIA STATION,OH,44028,UNITED STATES,KEVIN BROWN,,,,
25073,MORIDGE MANUFACTURING,PO BOX 810,,,MOUNDRIDGE,KS,67107,UNITED STATES,DOUG STORER,GOV'T COORD,,,
25246,GRACE H BARRY,304 W WOODGATE CT,,,BATON ROUGE,LA,70808,UNITED STATES,,,,,
25381,TIME SOLUTIONS INC,12232 INDUSTRIPLEX BLVD,,STE B-12,BATON ROUGE,LA,70809,UNITED STATES,**NEW ADDRESS ON INVOICE,,,,
25440,CAPITOL CITY FAMILY HEALTH CENTER,3140 FLORIDA STREET,INC,,BATON ROUGE,LA,70806,UNITED STATES,,,,,
25482,AMERICAN DOOR & HARDWARE LLC,2929 FLORIDA BLVD,,,BATON ROUGE,LA,70802,UNITED STATES,,,,,
25566,SIGMON TOOL & EQUIPMENT INC,404 GEORGETOWN DR,,,KENNER,LA,70065,UNITED STATES,TIM SIGMON,CELL,,,
25573,MR ENGINEERING AND SURVEYING LLC,9131 INTERLINE AVE STE 3A,,,BATON ROUGE,LA,70809,UNITED STATES,MICKEY ROBERTSON,CELL,,,
25591,CUMMINS-ALLISON CORPORATION,1512 EDWARDS AVE,,,HARAHAN,LA,70123,UNITED STATES,JOHN H CATLEDGE,,,,
25621,ARCHITECTURAL GRAPHICS INC,2655 INTERNATIONAL PARKWAY,,,VIRGINIA BEACH,VA,23450,UNITED STATES,VERA L CUST,SALES ASSOC,,,
25625,BRG PHONES PLUS INC,PO BOX 87272,,,BATON ROUGE,LA,70879-8272,UNITED STATES,DAVID AUBIN,PRESIDENT,,,
25674,CHRISTMAS DEPOT INC,2526 DELAWARE AVE,,,KENNER,LA,70062,UNITED STATES,,,,,
25762,HYLAND SOFTWARE INC,28500 CLEMENS ROAD,ATTN ACCOUNTS RECEIVABLE,,WESTLAKE,OH,44145,UNITED STATES,CONTACTUS@HYLAND.COM,,,,
25893,FOLEY & LARDNER,111 HUNTINGTON AVE STE 1800,ATTORNEY AT LAW,,BOSTON,MA,02199-7610,UNITED STATES,DAVID Y BANNARD,,,,
26098,NATURAL RESOURCES RECOVERY INC,5800 ONE PERKINS PLACE STE 6A,,,BATON ROUGE,LA,70808,UNITED STATES,SIDNEY C BRIAN,PRESIDENT,,,
26139,AT&T DATA COMM INC,P O BOX 8104,,,AURORA,IL,60507-8104,UNITED STATES,CINDY MATRANGA,CELL,,,
26140,INTERLINE BRANDS INC,ATTN BIDS TEAM 14TH FLOOR,D/B/A SUPPLYWORKS,701 SAN MARCO BLVD,SAN MARCO,FL,32207,UNITED STATES,ROCKY GUILLOT,CELL,,,
26232,TECHE ELECTRIC SUPPLY INC,11750 AIRLINE HWY,,,BATON ROUGE,LA,70817,UNITED STATES,**SPOKE TO MARCIA AT VENDOR &,,,,
26240,OCCUPATIONAL HEALTH CENTERS OF LA,3235 PERKINS ROAD,CONCENTRA MEDICAL CENTER,,BATON ROUGE,LA,70808,UNITED STATES,**ACQUIRED BY HEALTHMEDE IN,,,,
26343,MAVRON INC,152 SOUTH ZIMMER RD,,,WARSAW,IN,46580-2369,UNITED STATES,SHEAL DIRCK,,,,
26353,THE ENERGY CONSERVATORY,2801 21ST AVE S SUITE 160,,,MINNEAPOLIS,MN,55407,UNITED STATES,,,,,
26476,ADVANSTAR COMMUNICATIONS INC,131 W 1ST STREET,,,DULUTH,MN,55802,UNITED STATES,CHERYL YOX,,,,
26482,COMPUCOM SYSTEMS INC,7171 FOREST LANE,,,DALLAS,TX,75230,UNITED STATES,ZANETTA DAVIS,GEM BIDS,,,
26589,BRENDA SWANIGAN,2507 JACKSON AVE,,,BATON ROUGE,LA,70802,UNITED STATES,,,,,
26615,CIELA CORP,270 W NAPA ST SUITE 4F,D/B/A STARDUST.COM,,SONOMA,CA,95476,UNITED STATES,NIKKI STAES,,,,
26641,HYDRO-QUIP MANUFACTURING & SUPPLY,1923 WOODDALE BLVD,INC,,BATON ROUGE,LA,70806,UNITED STATES,,,,,
26719,PRESIDIO NETWORK SOLUTIONS,3300 WEST ESPLANADE AVE STE 101,ATTN PURCHASING,,METAIRIE,LA,70002,UNITED STATES,GEORGE TORRES,CELL,,,
26741,MASSENGALE GROUNDS MANAGEMENT INC,15755 S HARRELL'S FERRY RD BLDG C,,,BATON ROUGE,LA,70816,UNITED STATES,SONYA DAVIS,,,,
26773,THERESA A ROSS TOWNSEND,1920 STUART AVE,TOWNSEND PERSONALIZED FITNESS LLC,,BATON ROUGE,LA,70808,UNITED STATES,**2/29/12 UPDATED TAX ID TO,,,,MNW
26797,LEGISCON INC,703 N 7TH ST,,,BATON ROUGE,LA,70802,UNITED STATES,YVETTE SCHITTONE,CELL,,,
26854,NUNOERIN LLC,533 COMMERCE ST,,,JACKSON,MS,39201,UNITED STATES,CHRIS MYERS,CELL,,,
26932,JOHN A BLANCHARD,11720 PINE STREET,,,WALKER,LA,70785,UNITED STATES,,,,,
26981,MARY K DAVIS,825 N 6TH ST,,,BATON ROUGE,LA,70802,UNITED STATES,,,,,
27046,MK SOLUTIONS INC,75 ACCO DR STE A-3,,,YORK,PA,17402,UNITED STATES,DEMOND CRAWLEY,CELL,,,
27050,PREMIER FIRE EQUIPMENT LLC,6176 W PARK AVE,,,HOUMA,LA,70364,UNITED STATES,CHUCK BLAKE,CELL,,,
27055,DAVID JENKS,10651 ABERDEEN ACRES RD,,,DENHAM SPRINGS,LA,70726,UNITED STATES,DAVID JENKS,CELL,,,
27058,NATHAN WHITCHURCH,24875 SWEETLEAF STREET,,,BATON ROUGE,LA,70816,UNITED STATES,NATHAN WHITCHUCH,CELL,,,
27162,PARISH WATER CO INC,PO BOX 96003,,,BATON ROUGE,LA,70896-9033,UNITED STATES,,,,,
27194,LUNDIN ROOFING COMPANY INC,1301 COMMERCIAL DRIVE,,,PORT ALLEN,LA,70767,UNITED STATES,ED LUNDIN,VICE PRESIDENT,,,NON-M WBE
27405,THEODORE MAJOR,5467 N FOSTER DRIVE,THE MAJOR AGENCY,,BATON ROUGE,LA,70805,UNITED STATES,**NAME MATCHED TO TAX ID**,,,,BLK AMER
27508,GROUP14 ENGINEERING INC,1325 EAST 16TH AVE,,,DENVER,CO,80218,UNITED STATES,MARIA CHAVEZ,,,,
27632,KEYSTONE RIDGE DESIGNS INC,670 MERCER RD,,,BUTLER,PA,16001,UNITED STATES,JUSTIN MASKAL,,,,
27673,APPLIED INDUSTRIAL TECHNOLOGIES,11627 INDUSTRIPLEX BLVD,,,BATON ROUGE,LA,70809,UNITED STATES,PEGGY LONG,,,,
27682,TONJA MYLES,620 W PLAINS PORT HUDSON RD,,,ZACHARY,LA,70791-6714,UNITED STATES,TONJAMYLES@ATT.NET,,,,
27729,RINKER MATERIALS,800 PORT RD,CONCRETE PIPE DIVISION,,ALEXANDRIA,LA,71301,UNITED STATES,DAVID BALL,CELL,,,
27732,ANGELA ANDERS,404 GISELE ST,AKA ANGELA ANDERS LANDRY,,NEW ROADS,LA,70760-2727,UNITED STATES,,,,,
27736,GARDEN DOCTORS LLC,201 ST CHARLES AVE 114-260,DBA GARDEN DOCTORS HORTICULTURAL,,NEW ORLEANS,LA,70170,UNITED STATES,DOMINIQUE HARRIS,,,,BLK AMER
27737,GULF SERVICES CONTRACTING INC,5000 RANGE LINE RD,,,MOBILE,AL,36619,UNITED STATES,JONATHAN VALLE,,,,
27951,ROOF TECHNOLOGIES INC,631 MANHATTAN BLVD,,,HARVEY,LA,70058,UNITED STATES,BILL LUEBBERT,PRESIDENT,,,
27961,GLORIA NETTLES,5928 E CENTRAL AVE,,,ZACHARY,LA,70791-3130,UNITED STATES,,,,,
28117,LA CONTRACTING ENTERPRISES LLC,127 A LINCOLN LANE,,,THIBODAUX,LA,70301,UNITED STATES,**PER CALL TO VENDOR/UPDATED,,,,
28243,DLT SOLUTIONS,2411 DULLES CORNER PARK STE 800,,,HERNDON,VA,20171,UNITED STATES,AMANDA PHILLIPS,,,,
28391,LANGUAGE LINE SERVICES,P O BOX 202564,,,DALLAS,TX,75320-2564,UNITED STATES,SANDRA L JOHNSON,MANAGER,,,
28603,MARY BIRD PERKINS CANCER CENTER,4950 ESSEN LANE STE 102,,,BATON ROUGE,LA,70809-3482,UNITED STATES,ADDES ST NUMBER 4/30/14,,,,
28671,FITNESS EXPO,9603 AIRLINE HWY,,,BATON ROUGE,LA,70816,UNITED STATES,MICHAEL MANNEN,SALES,,,
29011,SOFTWARE EXPRESS,4128-A SOUTH BOULEVARD,,,CHARLOTTE,NC,28209,UNITED STATES,SUZANNE MAYES,,,215,
29298,MICHAEL OLIVER STUART,17844 GRAND CYPRESS CREEK AVE,,,BATON ROUGE,LA,70810,UNITED STATES,,,,,
29385,THE MUMPHREY GROUP INC,4731 CANAL STREET,D/B/A TMG CONSULTING,,NEW ORLEANS,LA,70119,UNITED STATES,ANTHONY MUMPHREY JR,PRESIDENT,,,
29498,ANGELA DAVIS,2911 1/2 CASTIGLIONE ST,THE YARNSPINNER,,NEW ORLEANS,LA,70119,UNITED STATES,,,,,
29631,NORTH AMERICAN RESCUE LLC,35 TEDWALL COURT,,,GREER,SC,29650,UNITED STATES,SUSAN HORTON,CELL,,,
29774,HANNAH PRODUCTIONS INC,2530 ARVILLA LANE,,,LAKE CHARLES,LA,70605,UNITED STATES,BRUCE HAMILTON,,,,
29779,JONATHAN CLOUD,10101 SPRINGRIDGE,,,BATON ROUGE,LA,70810-7724,UNITED STATES,,,,,
29878,VERICOM COMPUTERS INC,14320 JAMES ROAD STE 200,,,ROGERS,MN,55374,UNITED STATES,RICK JOBE EXTOL,SALES,,,
29890,FARONICS TECHNOLOGIES USA INC,5506 SUNBOL BLVD STE 202,,,PLEASANTON,CA,94566,UNITED STATES,JANICE FRAUZ,,,,
29895,ZISTOS CORPORATION,1736 CHURCH ST,,,HOLBROOK,NY,11741-5918,UNITED STATES,ROBERT LEVINE,CELL,,,
29912,TOSHIBA AMERICA INFORMATION,PO BOX 3083,,,CEDAR RAPIDS,IA,52406-3083,UNITED STATES,CUSTOMER SERVICES,,,,
30011,CABILDO STAFFING LLC,1515 POYDRAS ST SUITE 2270,,,NEW ORLEANS,LA,70112,UNITED STATES,GEORGE HUTCHINSON,CELL,,,HISP AMER
30105,DATA MANAGEMENT INC,3322 W LOOP 306,(TIME CLOCK PLUS),,SAN ANGELO,TX,76904,UNITED STATES,JORDY MOORMAN,,,,
30109,FAIRHAVEN SOFTWARE PRODUCTS INC,2222 CARLING AVE STE 327,,,OTTAWA,ON,K2A1H3,CANADA,TOM JOSEPH,GENERAL MANAGER,,,
30120,DORENDORF ADVANCED TECHNOLOGIES LLC,4612 SW 17TH AVE,,,CAPE CORAL,FL,33914,UNITED STATES,MARY DORENDORF,CELL,,,
30125,HUVAL & ASSOCIATES INC,922 WEST PONT DES MOUTON ROAD,,,LAFAYETTE,LA,70507,UNITED STATES,DAVID S HUVAL SR,,,,
30152,MICROBOARDS TECHNOLOGY LLC,8150 MALLORY COURT,AFINIA,,CHANASSEN,MN,55317,UNITED STATES,ZACK,,,1,
30247,BIBLIOTHECA LLC,3169 HOLCOMB BRIDGE RD,,STE 200,NORCROSS,GA,30071,UNITED STATES,LLC TAXED AS S-CORP; NO 1099,,,,
30264,CLEAR VENTURES INC,11725 INDUSTRIPLEX BLVD STE 3,CAM ENVIRONMENTAL SERVICES,,BATON ROUGE,LA,70809,UNITED STATES,ROB MARTIN,CELL,,,
30300,MATRIX INC,740 COLONIAL DR,,,BATON ROUGE,LA,70806,UNITED STATES,,,,,
30338,LEARNING SCIENCES LLC,4660 ONEAL LANE STE B,,,BATON ROUGE,LA,70817-1651,UNITED STATES,PETER RANZINO,CELL,,,
30344,BOBBIE L KELLY,6111 MAPLEWOOD DR,,,BATON ROUGE,LA,70812,UNITED STATES,BOBBIE L KELLY,CELL,,,BLK AM WBE
30380,KENCO ENGINEERING,11616 INDUSTRIPLEX BLVD #14,,,BATON ROUGE,LA,70809,UNITED STATES,,,,,
30431,PLANET RECESS INC,PO BOX 78160,,,BATON ROUGE,LA,70837-8160,UNITED STATES,JOYCE ADAMS,SEC OF CORP,,,
30497,ARCHITECTNIX,PO BOX 82881,,,BATON ROUGE,LA,70884-2881,UNITED STATES,,,,,
30506,PROFESSIONAL INSTALLATION INC,11825 SPRING MEADOW DR,DBA SUN SCAPE HOME & COMM WINDOW,,BATON ROUGE,LA,70818-2620,UNITED STATES,KERRY D'ANTONI,PRESIDENT,,,
30542,SILVER NEEDLE,7861 HOOPER ROAD SUITE G,,,BATON ROUGE,LA,70811,UNITED STATES,,,,,
30563,MAPP CONSTRUCTION LLC,344 THIRD ST,,,BATON ROUGE,LA,70801,UNITED STATES,HOLLY EDGENS,,,,
30596,CECIL D GASSIOTT LLC,1 EASY ST,,,ALEXANDRIA,LA,71302-9386,UNITED STATES,CECIL D GASSIOTT,,,,
