RECORD TYPE,PURCHASE ORDER NUMBER,ITEM NUMBER,ITEM DESCRIPTION,ITEM UNIT COST,ITEM QUANTITY ORDERED,ITEM UNIT OF MEASURE,ITEM TOTAL COST,UNIQUE ID
D,PO060719,1,ELECTRICAL AND PLUMBING REPAIRS: PROVIDE LABOR    MATERIALS AND INSURANCE FOR REPAIR PER             SPECIFICATIONS AND SCOPE OF WORK DATED 03/29/2006  FOR THE FOLLOWING:                                  - PROJECT #: 05-I2-HC-009,2600,1,JB,2600,PO0607190001
D,PO170032,17,GENERATOR REPLACEMENT PS124 150-3/480 W/ FUEL TANK ENCLOSURE LINES 100 101 103 & 104              *                                                  S.C. #4400005667 VALID 1/1/17 THRU 9/14/17,32157.68,1,EA,32157.68,PO1700320017
D,PO170032,18,GENERATOR REPLACEMENT PS161 100-3/480 W/ FUEL TANK ENCLOSUREATTENUATION LINES 90 91 93 & 94      *                                                  S.C. #4400005667 VALID 1/1/17 THRU 9/14/17,25441.61,1,EA,25441.61,PO1700320018
D,PO170338,2,4 DOOR CREW CAB(4X4) LINE OPT. 9E                  ALEXANDRIA BID #2075 VALID THRU 5/17/2017          *,7492,1,EA,7492,PO1703380002
D,PO141562,1,SALES TAX STREET AND ROAD REHABILITATION PROGRAM   PROJECT 14-02 NORTH ARDENWOOD DR. CITY PARISH      PROJECT NO. 13-CR-ST-0053.  RECORDED: 09/23/14     ORIG:  257 BNDL: 12607.  CONTRACTOR:  F G SULLIVAN JR. CONTRACTOR LLC   OWNER:  CITY OF BATON ROUGE,1578167.8,1,JB,1578167.8,PO1415620001
D,PO141562,2,************CHANGE ORDER #1*********************** SALES TAX STREET AND ROAD REHABILITATION. PROJECT  NO. 13-CR-ST-0053.  TO ELIMINATE THE GRANITE FINES AS REQUIRED BY SPECS FOR USE IN ASPHALTIC CONCRETE  MIX. THIS IS A $0.0 COST CHANGE.,0,1,JB,0,PO1415620002
D,PO160766,1,COMPUTER: DELL OPTIPLEX 7040 SSF                   QUOTE #1025628391563.1                             STATE CONTRACT 4400002525 LINE 1                  OFFICE OF BUSINESS OPERATIONS,1065.4,7,EA,7457.8,PO1607660001
D,PO160766,2,MONITOR: DELL 22 P2217H                            QUOTE #1025628391563.1                             STATE CONTRACT 4400002525 LINE 1,198.94,4,EA,795.76,PO1607660002
D,PO170298,1,"MICROSOFT SURFACE BOOK WITH PERFORMANCE BASE -     13.5"". MFG. PART# 9ER-00001                        PER QUOTE HRQX037                                  MASTER AGREEMENT NO. MNWNC-119 STATE CONTRACT#    4400008025 LINE 1.",2243.59,2,EA,4487.18,PO1702980001
D,PO060986,1,ENGINEERING SERVICES FOR PUMP STATION NO. 10       (EAST LAKESHORE) SEWER REHABILITATION PER          WRITTEN CONTRACT.                                  PROJECT NO. 06-WC-CP-013.,17300,1,JB,17300,PO0609860001
D,PO150765,1,VENDOR IS TO PROVIDE MATERIALS AND LABOR TO        FURNISH AND INSTALL FLOORING AT BATON ROUGE CITY   COURT- BASEMENT REPAIR. PER QUOTE# 19413.          .                                                  VINYL TILE - STANDARD ESSENTIALS VCT 12X12.,4348,1,JB,4348,PO1507650001
D,PO150765,2,"WALL BASE - DC-XX 4"" RUBBER BASE 120' ROLL.        INSTALL 4"" COVER BASE. (MATERIALS: 240LF LABOR:    220LF)",0,1,JB,0,PO1507650002
D,PO060986,2,***INTERNAL CHANGE ORDER TO REVISE ACCOUNT CODE*** FROM ACCOUNT NO. 420.7570073.752200.6070134,0,1,JB,0,PO0609860002
D,PO160774,1,DESIGN AND CONSTRUCION SERVICES FOR THE GARAGE     IMPROVEMENTS PHASE I AS APPROVED BY COUNCIL        RESOLUTION 52147                                   SBE: NONE,232934,1,JB,232934,PO1607740001
D,PO160772,1,ANNUAL PARISH WIDE HOMEOWNERS SEWAGE PUMP          INSTALLATION AND MAINTENANCE PROJECT BEING        PROJECT NO 16-LP-WC-0009. RESOLUTION # 52213.      RECORDED: 07-05-2016  ORIG: 257  BNDL: 12742       *,593337.5,1,JB,593337.5,PO1607720001
D,PO160769,1,BOOKSHELF: H94224 HON-GSA                          94000 SERIES BOOKSHELF 4-SHELF                     35-3/4W 15D 64H                                    LAMINATE COLOR: MAHOGANY                           STATE CONTRACT 4400005781 LN 3,346.12,1,EA,346.12,PO1607690001
D,PO150374,1,TO PROCIDE HOMELESS ASSISTANCE UNDER THE FY 2013   SUPPORTIVE HOUSING PROGRAM PER COUNCIL RESOLUTION NUMBER 51090 AND WRITTEN CONTRACT.                 CONTRACT TERM: 10/01/14-09/30/15                   SHP-13-PS-0010     *,62512,1,JB,62512,PO1503740001
D,PO060986,3,TO ACCOUNT NO. 411.7570073.752200.6070134,1538.5,1,JB,1538.5,PO0609860003
D,PO170338,4,REARVIEW CAMERA LINE OPT. # A.                     ALEXANDRIA BID #2075 VALID THRU 5/17/2017          REAR MOUNTED CAMERA; REVIEW MIRROR OR OEM FACTORY  DASH MONITOR; ON IN REVERSE ONLY.                  *,950,1,EA,950,PO1703380004
D,PO170338,5,"PINTLE HITCH WITH 2"" BALL. LINE ITEM OPT. E        ALEXANDRIA BID #2075 VALID THRU 5/17/2017          *",190,1,EA,190,PO1703380005
D,PO061038,1,PLUMBING: PROVIDE LABOR MATERIALS AND INSURANCE   FOR REPAIR PER SPECIFICATIONS AND SCOPE OF WORK    DATED 06/13/2006 FOR THE FOLLOWING:                - PROJECT #: 05-III7-HC-021                        - ADDRESS: 625 NORTH 30TH STREET,1600,1,JB,1600,PO0610380001
D,PO061421,1,CONSULTING SERVICES FOR TEST CONSTRUCTION          AND VALIDATION FOR HUMAN RESOURCES FROM            AUGUST 15 2006 THRU DECEMBER 31 2007             PER WRITTEN CONTRACT.,80000,1,JB,80000,PO0614210001
D,PO061591,1,PROVIDE COMMUNITY BASED CANCER SCREENING           SERVICES TO UN/UNDERINSURED ADULT MEN AND          WOMEN PER COUNCIL RESOLUTION NO. 44904 AND         WRITTEN CONTRACT.                                  ACCOUNT NO. 182.6114016.643550.3055402,23500,1,JB,23500,PO0615910001
D,PO170338,6,FOUR CORNER STROBES LINE OPT.#7_U                  ALEXANDRIA BID #2075 VALID THRU 5/17/2017          LED TYPE FOUR-CONER REMOTE STROBES WITH LIGHTED   SWITCH.                                            *,725,1,EA,725,PO1703380006
D,PO170299,1,499222S - STEELCASE:SIENTO;CHAIR-HIGH BACKLEATHER ALUMINUM BASE ENCLOSED ARMS. UPHLSTRY:L115 DOVE   GREY 11049(RS4049).OPTIONS: CASTER-*OPT:CASTER     OPTIONS.HARD CST STD:HARD CASTERS.SEAT OPT-*OPT:   ADJUSTABLE SEAT.PNEU ADJ STD:ADJUSTABLE PNEUMATIC,1761.15,1,EA,1761.15,PO1702990001
D,PO061591,2,ACCOUNT NO. 182.6114016.643550.3055405,11000,1,JB,11000,PO0615910002
D,PO061591,3,ACCOUNT NO. 182.6114016.643550.3055403,15500,1,JB,15500,PO0615910003
D,PO061591,4,ACCOUNT NO. 182.6114016.643550.3055404,50000,1,JB,50000,PO0615910004
D,PO150928,1,"44A6084/1110 - LEGEND PANEL SZ1 1MOD              12"" LEGEND HEIGHT                                  PANEL SIZE 20.30 X 28.87                                                                              QUOTE NUMBER 0051140",267.4,30,EA,8022,PO1509280001
D,PO150928,2,"44A6084/1210 - LEGEND PANEL ASSY SZ1 2MOD          LEGEND HEIGHT 12""                                  PANEL SIZE 20.30 X 58.15                           QUOTE NUMBER 0051140",588.03,8,EA,4704.24,PO1509280002
D,PO150928,3,"44A6084/2110 - SIGN PANEL SZ 2 1MOD SIG SER        LEGEND HEIGHT 15""                                  PANEL SIZE 26.30 X 35.37                           QUOTE NUMBER 0051140",394.42,48,EA,18932.16,PO1509280003
D,PO150928,4,"44A6084/2210 - SIGN PANEL SZ2 2-MOD S.S           LEGEND HEIGHT 15""                                  PANEL SIZE 26.3"" X 71.15""                          QUOTE NUMBER 0051140",751.98,32,EA,24063.36,PO1509280004
D,PO150928,5,"44A6084/3110 - SIGN PANEL SZ3 1MOD SIG. SER.       LEGEND HEIGHT 18""                                  PANEL SIZE 32.30"" X 41.87""                         QUOTE NUMBER 0051140",507.78,2,EA,1015.56,PO1509280005
D,PO150928,6,"44A6084/4110 - SIGN PANEL SZ 4 1MOD SIG SER        LEGEND HEIGHT 40""                                  PANEL SIZE 48.75"" X 47.37""                         QUOTE NUMBER 0051140",786.51,24,EA,18876.24,PO1509280006
D,PO150928,7,"60A2698/10 - L-858 SZ 1 PANEL DIVIDER SIG         SERIES                                             LENGTH 18.335""                                     BLACK BACKGROUND                                   QUOTE NUMBER 0051140",62.1,20,EA,1242,PO1509280007
D,PO150928,8,"60A2698/20 - L-858 SZ 2 PANEL DIVIDER SIG         SERIES                                             LENGHT 24.335""                                     BLACK BACKGROUND                                   QUOTE NUMBER 0051140",69.8,20,EA,1396,PO1509280008
D,PO150928,9,*****THIS ITEM IS TO DELETE ITEM 0003 ***********  THE QUANTITY LISTED IS 48 A QUANTITY OF 50 IS     NEEDED FOR 44A6084/2110 - SIGN PANEL SZ 2 IMOD SIG REFER TO ITEM 0011 FOR CORRECT QUANTITIES.,0,48,EA,0,PO1509280009
D,PO150928,10,*****THIS ITEM IS TO DELETE ITEM 0004 ***********  THE QUANTITY LISTED IS 32 A QUANTITY OF 31 WAS    NEEDED FOR 44A6084/2210 - SIGN PANEL SZ2 2-MOD    REFER TO ITEM 0012 FOR CORRECTED QUANTITIES.,0,32,EA,0,PO1509280010
D,PO150928,11,"******CHANGE ORDER 1 TO INCREASE QUANTITY FROM     48 TO 50 ON ITEM 0003 AS NEEDED FOR PROJECT ***** 44A6084/2110 - SIGN PANEL SZ 2 1MOD SIG SER        PANEL SIZE 26.30 X 35.37 LEGEND HEIGHT 15""         QUOTE NUMBER 0051140",394.42,50,EA,19721,PO1509280011
D,PO150928,12,"***CHANGE ORDER 1 TO DECREASE QTY FROM 32 TO 31    AS SPECIFIED ON ITEM 0004 ************************ 44A6084/2210 - SIGN PANEL SZ2 2-MOD S.S           PANEL SIZE 26.3"" X 71.15""_LEGEND HEIGHT 15""        QUOTE NUMBER 0051140",751.98,31,EA,23311.38,PO1509280012
D,PO170774,5,*******CHANGE ORDER TO REFLECT DELIVERY CHARGE****,35,1,EA,35,PO1707740005
D,PO061606,1,SUPPLEMENTAL AGREEMENT NO. 1 FOR ENGINEERING       SERVICES FAIRCHILD-BADLEY (SCENIC HIGHWAY TO       VETERANS MEMORIAL BOULEVARD 600' OF ELM            GROVE GARDEN) PER COUNCIL RESOLUTION NO. 44954     AND WRITTEN CONTRACT.,391480.31,1,JB,391480.31,PO0616060001
D,PO061606,2,**********CHANGE ORDER NO. 1**********             SUPPLEMENTAL AGREEMENT NO. 2 PER COUNCIL           RESOLUTION NO. 44954 AND WRITTEN CONTRACT.,67485,1,JB,67485,PO0616060002
D,PO160210,2,DELL AC511 STEREO SOUNDBAR                         STATE CONTRACT #4400002525 LINE 2                  VALID 10/01/2015 - 03/31/2017,30.09,4,EA,120.36,PO1602100002
D,PO151135,168,INTERNAL CHANGE ORDER TO OFFSET ITEM 0146*******   THIS CHANGE ORDER IS BEING ISSUED TO DELETED THE   -$55000 DISCOUNT RECEIVED FOR THE HARDWARE BY     VENDOR AS THIS DISCOUNT HAS ALREADY BEEN APPLIED  THROUGHOUT THE PURCHASE ORDER. THE TOTAL PURCHASE,0,1,EA,0,PO1511350168
D,PO151135,167,SHIPPING CHARGES                                   .                                                  AGENCY CONTACT: JAY EFFERSON (225) 389-3070        VENDOR CONTACT: GEORGE TORRES OR SUSAN BACCI                       GTORRES@PRESIDIO.COM,1200,1,EA,1200,PO1511350167
D,PO061606,3,**********CHANGE ORDER NO. 2**********             SUPPLEMENTAL AGREEMENT NO. 3 PER COUNCIL           RESOLUTION NO. 45867 AND WRITTEN CONTRACT.,78373.44,1,JB,78373.44,PO0616060003
D,PO061606,4,**********CHANGE ORDER NO. 3**********             SUPPLEMENTAL AGREEMENT NO. 4 PER COUNCIL           RESOLUTION NO. 49722 AND WRITTEN CONTRACT.         PROFESSIONAL SERVICES AND ENGINEERING SERVICES IN  ACCORDANCE WITH PROJECT #06-CS-HC-0018. CONTRACT,13390.35,1,JB,13390.35,PO0616060004
D,PO061670,1,ENGINEERING SERVICES FOR SEWER PUMP STATION        HYDRAULIC MODELING OF THE STN PER WRITTEN          CONTRACT.,16700,1,JB,16700,PO0616700001
D,PO061670,2,**********SUPPLEMENTAL AGREEMENT NO. 3************ ENGINEERING SERVICES FOR SEWER PUMP STATION        HYDRAULIC MODELING OF THE STN PER WRITTEN          CONTRACT.,10000,1,JB,10000,PO0616700002
D,PO070217,1,BLANKET ORDER FOR UNIFORM SERVICES FOR             DPW BRIDGE & CANAL SOUTH IN ACCORDANCE WITH        CONTRACT A00-0413,5500,1,JB,5500,PO0702170001
D,PO160227,3,OFFICE EQUIPMENT MAINTENANCE                       TRAFFIC ENGINEERING                                STATE CONTRACT # 440000120 LINE #1                 SERVICE: 01/01/16 THRU 06/30/16,258.83,6,MO,1552.98,PO1602270003
D,PO070218,1,BLANKET ORDER FOR UNIFORM SERVICES FOR             DPW BUILDING MAINTENANCE IN ACCORDANCE WITH        CONTRACT A00-0413,11000,1,JB,11000,PO0702180001
D,PO160227,4,OFFICE EQUIPMENT MAINTENANCE                       WASTEWATER COLLECTION                              STATE CONTRACT #4400001202 LINE #1                 SERVICE: 01/01/16 THRU 06/30/16,168,6,MO,1008,PO1602270004
D,PO160218,1,CANON MONOCHROME MAINTENANCE COPIERS. CONTRACT     INCLUDES: LABOR PARTS DRUM AND BLACK TONER.      STATE CONTRACT #4400006255 CATALOG #969391         LINE #1 VALID 01/01/2016 - 06/30/2016              *,148.2,6,EA,889.2,PO1602180001
D,PO070226,1,RETAINER CONTRACT FOR TRAFFIC ENGINEERING          SERVICES GREEN LIGHT PLAN HALF CENT SALES          TAX ROAD IMPROVEMENT PROGRAM PER COUNCIL           RESOLUTION NO. 45239 AND WRITTEN CONTRACT.,100000,1,JB,100000,PO0702260001
D,PO170299,6,DPB2418-STEELCASE: PEDESTALBOX/BOX/FILE24DX18W.  BASIC:3612 RC/OP WARM OAK. LOCK:9201 POLISHED      CHROME. KEYS:SK PLUG. PULLS: *OPT:PULLS. NILE:     NILE PULL. PULL: PULL. POL CHR:*PULL:POLISHED      CHROME. 9201:POLISHED CHROME,972.82,1,EA,972.82,PO1702990006
D,PO170299,7,DPC2430-STEELCASE: PEDESTALOPEN/FILE24DX30W      BASIC:3612 RC/OP WARK OAK. PULLS:*OPT:PULLS. NILE: NILE PULL. PULL:PULL. POL CHR:*PULL:POLISHED       CHROME. 9201:POLISHED CHROME                       MAYOR'S CREDENZA COMPONENT.PER QUOTE 54637,1090.86,1,EA,1090.86,PO1702990007
D,PO170299,8,CFLEXX30-STEELCASE. BASE-TABLEMETAL X FLEX 30D  X30W X27 1/2H. BASE:8046 POLISHED ALUM             MAYOR'S DESK COMPONENT PIECE. PER QUOTE 54637      LINES 34 AND 8 MAKE UP ONE UNIT TOTALING          $3874.42.,800,1,EA,800,PO1702990008
D,PO070226,2,**********CHANGE ORDER NO. 1**********             SUPPLEMENTAL AGREEMENT NO. 1 PER COUNCIL           RESOLUTION NO. 45681 AND WRITTEN CONTRACT.,125000,1,JB,125000,PO0702260002
D,PO150922,1,PRINTER: HP LASERJET EXT. M553a                    QUOTE # STS23435561                                STATE CONTRACT 404160/4400000933 LINE 1           AGENCY CONTACT: STEVE MARCHAND 225-389-3070        VENDOR CONTACT: ED DALTON 225-274-3230,909,1,EA,909,PO1509220001
D,PO070226,3,**********CHANGE ORDER NO. 2**********             SUPPLEMENTAL AGREEMENT NO. 2 PER COUNCIL           RESOLUTION NO. 46811 AND WRITTEN CONTRACT.,50000,1,JB,50000,PO0702260003
D,PO070226,4,**********CHANGE ORDER NO. 3**********             SUPPLEMENTAL AGREEMENT NO. 3 PER COUNCIL           RESOLUTION NO. 49621 AND WRITTEN CONTRACT.         CONTRACT TERM: THIS RETAINER WILL BE IN EFFECT     UNTIL 01/29/2014.  275% OF THE ORIG. AMT,100000,1,JB,100000,PO0702260004
D,PO070325,1,PROFESSIONAL CONSULTING SERVICES FOR               THE NORTH LANDFILL PER COUNCIL ORDINANCE           NO. 13860 AND WRITTEN CONTRACT.,38000,1,JB,38000,PO0703250001
D,PO160784,1,PARTS TO REPAIR VFD'S                              POWERFLEX 75                                       MANUFACTURER REPLACEMENT PARTS,2964,2,EA,5928,PO1607840001
D,PO120970,4,***********CHANGE ORDER #3***********************  ADDITIONAL COSTS TO COVER CHANGE IN METHOD OF      CONSTRUCTION TO AVOID UTILITY CONFLICT AND         ADDITIONAL STONE BASE MATERIAL.  PER COUNCIL       RESOLUTION 50780.  THIS CHANGE REPRESENTS A LESS,118506.26,1,JB,118506.26,PO1209700004
D,PO070790,3,*********SUPPLEMENTAL AGREEMENT NO. 2************* SERVICES TO BE PREFORMED BY ABSTRACTOR AS SET      FORTH IN THE ORIGINAL CONTRACTOR.    THIS CHANGE   REPRESENTS A 66% INCREASE IN THE ORIGINAL PO       AMOUNT.  RECORDED:  04/16/15 ORIG.:  255 BNDL:,100000,1,JB,100000,PO0707900003
D,PO120970,1,CONSTRUCTION SERVICES FOR THE P.S. #58 OVERFLOW    PUMP STATION BEING PROJECT #09-PS-US-0001.        PER COUNCIL RESOLUTION 49394 AND WRITTEN CONTRACT. THE TERM OF THIS CONTRACT IS JUNE 15TH UNTIL THE   PROJECT IS COMEPLETE.,13012000,1,JB,13012000,PO1209700001
D,PO120970,2,***********CHANGE ORDER #1***********************  CHANGE SITE CLEANING AND GRUBBING AREA            IMPLEMENTATION OF CONCRETE THERMAL CONTROL PLAN.   ITEMS REMOVAL AND REPLACEMENT OF ITEMS.,0,1,JB,0,PO1209700002
D,PO120970,3,***********CHANGE ORDER #2***********************  LSU/BURDEN CENTER REQUESTED THAT THE CONTRACTOR    SHAPE ALL SPOILS DISPOSED OF ON THEIR PROPERTY     INTO BERMS. PUMP STATION 58 REPLACEMENT PROJECT#   09-PS-UF-0001. CHANGE ORDER IS A CREDIT AND DOES,0,1,JB,0,PO1209700003
D,PO120970,7,*******CHANGE ORDER # 5**************************  POTHOLDING THE EXISTING FORCE MAIN AND UTILITIES   TO COORDINATE THE TIE-IN WITH THE NEW SYSTEM.      THIS ALSO EXTENDS THE CONTRACT BY AN ADDITIONAL    15 DAYS RESULTING IN AN ADDITIONAL AMOUNT OF,44178.66,1,JB,44178.66,PO1209700007
D,PO071330,1,ENGINEERING SERVICES FOR THE SWWTP SCREENING       IMPROVEMENTS PER COUNCIL RESOLUTION NO. 45421      AND WRITTEN CONTRACT.                              PROJECT NO. 06-WT-TP-0059.,61000,1,JB,61000,PO0713300001
D,PO071372,1,ENGINEERING SERVICES FOR THE HIGHWAY 61            FORCE MAIN UPGRADE PHASE 3 PER COUNCIL             RESOLUTION NO. 45547 AND WRITTEN CONTRACT.         PROJECT NO. 06-WC-IF-0014.,75000,1,JB,75000,PO0713720001
D,PO170310,1,AIR TECHNIQUES PERI-PRO III. INTRAORAL DENTAL      FILM PROCESSOR. PART#94000. PER SPECIFICATIONS.    .                                                  AGENCY CONTACT: MARSHA HANLON -225-389-3061        .,2398,1,EA,2398,PO1703100001
D,PO071255,1,ENGINEERING SERVICES FOR THE SWWTP TRICKLING       FILTER IMPROVEMENTS IMMEDIATE ACTION PLAN         PER COUNCIL RESOLUTION NO. 45512 AND               WRITTEN CONTRACT.                                  PROJECT NO. 06-WT-TP-0061.,600000,1,JB,600000,PO0712550001
D,PO151210,1,COMPUTER; DELL OPTIPLEX 7020 SFF CTO (210-ACSM)   WINDOWS 7 PROFESSIONAL ENGLISH/FRENCH 64BIT        (INCLUDES WINDOWS 8.1 PRO LICENSE)                 PER DELL QUOTE #718195165                          STATE CONTRACT #4400002525LINE 1/NASPO MNWNC-108.,887.7,3,EA,2663.1,PO1512100001
D,PO151210,2,MONITOR; DELL 22 P2214H (320-9791)                 PER DELL QUOTE #718195165                          STATE CONTRACT #4400002525LINE 1/NASPO MNWNC-108.,179.39,3,EA,538.17,PO1512100002
D,PO151210,3,SOFTWARE; VLA OFFICE PRO PLUS 2016 (A8584533)      PER DELL QUOTE #718196906                          STATE CONTRACT #4400002525LINE 1/NASPO MNWNC-108. ** MARK FOR SHARON STEPHENS FOR/S. RICHARDSON        L. POTIER M. CHARLES,331.52,3,EA,994.56,PO1512100003
D,PO071555,1,ROOFING: PROVIDE MATERIALS LABOR AND INSURANCE   FOR REPAIR PER SPECIFICATION AND SCOPE OF WORK     DATED 08/13/2007 FOR THE FOLLOWING:                - PROJECT: 06-III6-CDRP-167                        - ADDRESS: 5175 FAIRFIELDS AVE. BATON ROUGE,2995,1,JB,2995,PO0715550001
D,PO151013,3,"2015 BYE RITE UTILITY TRAILER 83"" X 18' 2-3500   LB IDLER AXLES DOT APPROVED LIGHTING 4-205/75D/  15 TIRE & RIMS 2"" COUPLER TREATED PINE DECK HD  TRACTOR GATE A-FRAME TONGUE W/2000 LB JACK.       MARK FOR LANDSCAPE MAINTENANCE.",1999,1,EA,1999,PO1510130003
D,PO071555,2,- PROJECT: 06-II5-CDRP-168                         - ADDRESS: 6386 FORD STREET BATON ROUGE           -   OWNER: MAMIE LEE,3275,1,JB,3275,PO0715550002
D,PO071555,3,- PROJECT: 06-IV10-CDRP-169                        - ADDRESS: 2001 GOVERNMENT STREET BATON ROUGE     -   OWNER: CLARENCE ROBINSON,3175,1,JB,3175,PO0715550003
D,PO151019,1,PHONE SYSTEM FOR CENTRAL GARAGE                    SV9100S 9.5 BASIC PACKAGE 640951                   PROPERTY TAG #127925,7169.75,1,JB,7169.75,PO1510190001
D,PO151211,1,RENEWAL OF END USER SILVER MAINTENANCE & SUPPORT   FOR DATA INTEGRATOR - DI PROF ON-PREMISE V9        PERPETUAL DEVELOPMENT DI-OP-9-PRO-P-DEV-SLVR-MNT   TERM DECEMBER 1 2015 TO NOVEMBER 30 2016         VENDOR QUOTE# 466321 ACCT NO. 1111434,1135.5,1,EA,1135.5,PO1512110001
D,PO080345,2,***INTERNAL CHANGE ORDER TO REVISE ACCOUNT CHARGES    FROM ACCOUNT NO. 371.7263132.652330.5920397,0,1,JB,0,PO0803450002
D,PO080345,3,TO ACCOUNT NO. 339.7263132.652330.5920397.,6595564.13,1,JB,6595564.13,PO0803450003
D,PO080345,4,**************CHANGE ORDER # 1*****************    ADJUST CONTRACT QUANTITIES OF ALL ITEMS TO         AS-BUILT QUANTITIES; RESULTING IN A CREDIT AMOUNT  OF $-25134.20. 0% INCREASE. RESOLUTION # 51676,0,1,JB,0,PO0803450004
D,PO071555,4,- PROJECT: 06-II5-CDRP-170                         - ADDRESS: 5389 TOLBERT DR. BATON ROUGE           -   OWNER: AGNES SPEARS,3240,1,JB,3240,PO0715550004
D,PO071555,5,- PROJECT: 06-IV10-CDRP-171                        - ADDRESS: 1631 OLIVE STREET BATON ROUGE          -   OWNER: AUDREY WATKINS,4175,1,JB,4175,PO0715550005
D,PO080345,1,CENTRAL THRUWAY BRIDGE (COMITE AND BEAVER BAYOU    NO.1) CITY-PARISH PROJECT NO. 05-BR-HC-0033       STATE PROJECT NO. 742-17-0150                     FEDERAL PROJECT NO. 1705(523)                     PER RESOLUTION NO. 45909 AND WRITTEN CONTRACT.,23830132.62,1,JB,23830132.62,PO0803450001
D,PO071555,6,*****CHANGE ORDER NO. 1*****                       REPLACE ADDITIONAL SIDING AND INSTALL JACKS        TO ITEM 3 2001 GOVERNMENT STREET,300,1,JB,300,PO0715550006
D,PO151021,1,CHRISTIAN STREET SIDEWALKS                         (EAST LAKESHORE TO PERKINS ROAD)                   CITY PARISH PROJECT NO. 15-SW-HC-0022              TO PROVIDE SURVEYS AND DESIGN SERVICES FOR THE    CONSTRUCTION OF THE CHRISTIAN STREET SIDEWALK,38831.14,1,JB,38831.14,PO1510210001
D,PO170147,6,JANITORIAL SERVICES FOR VARIOUS CITY PARISH BLDG   PUBLIC WORKS OLD BRJHB 1100 LAUREL STREET          CONTRACT #A14-0409 ITEM 4 - BASE PRICE PER SPECS 340000 SQ FT @ $.078 PER SQ FT                    SERVICE DATES: 01/01/17 THRU 07/31/17,0.08,238000,FT,18564,PO1701470006
D,PO170147,7,JANITORIAL SERVICES FOR VARIOUS CITY PARISH BLDG   TRIANGLE BLDG 233 ST FERDINAND ST. PER SPECS      CONTRACT #A14-0406 ITEM 10- BASE PRICE           9630 SQ FT @ $.07 PER SQ FT                       SERVICE DATES: 01/01/17 THRU 07/31/17,0.07,67410,FT,4718.7,PO1701470007
D,PO131586,1,CONSTRUCTION SERVICES FOR FAIRCHILD-BADLEY         (SCENIC-HWY TO VETERANS MEMORIAL BLVD)             (AND 600' OF ELM GROVE GARDEN DRIVE)               CITY PARISH PROJECT NO. 06-CS-HC-0018              PER COUNCIL RESOLUTION NO. 50382 AND WRITTEN,4588718,1,JB,4588718,PO1315860001
D,PO130775,1,PROVIDE SERVICES TO ASSIST THE CITY-PARISH IN THE  OPERATION OF THE BRAVE PROJECT.                    CONTRACT TIME: FEBRUARY 13 2013 AND ENDING MARCH  31 2016.   RESOLUTION NO. 50004.                  *,201870,1,JB,201870,PO1307750001
D,PO130657,3,***SUPPLEMENTAL AGREEMENT NO. 2**TRACKING # 162828 MODIFICATION TO THE SCOPE OF WORK IN CONNECTION WI TH THE SCADA MASTER PLAN PROJECT NO. 12-PS-MS-0021 RESOLUTION NO. 52066. THIS AGREEMENT RESULTED IN   AN INCREASE AMOUNT TOTALING $1257036.47 THIS,4018.71,1,JB,4018.71,PO1306570003
D,PO130657,2,**SUPPLEMENTAL AGREEMENT NO. 1**TRACKING #:162827* FOR SUPPLEMENTAL SERVICES IN CONNECTION WITH THE   SCADA MASTER PLAN PROJECT NO. 12-PS-MS-0021.      COUNCIL RESOLUTION NO. 51125. THIS IS A 0.018%     INCREASE TO THE ORIGINAL CONTRACT.,27709.49,1,JB,27709.49,PO1306570002
D,PO131586,2,*****************CHANGE ORDER #1****************** FAIRCHILD STREET/BRADLEY ROAD IMPROVMENTS PROJECT # 06-CS-HC-0018. RESOLUTION # 51622. INSTALLATION  OF CONFLICT BOXES WAS REQUIRED DUE TO UTILITY      CONFLICTS. THIS IS A 2% INCREASE.,78595.86,1,JB,78595.86,PO1315860002
D,PO130657,5,SUPPLEMENTAL AGREEMENT NO. 2 (CONTINUED)           THIS PORTION OF THE AGREEMENT IS FOR $180000.00   THAT IS BEING CHARGED TO FUNDING SOURCE 443.,180000,1,JB,180000,PO1306570005
D,PO071647,1,ENGINEERING AND LAND SURVEYING SERVICES            ESSEN LANE (LA 3064) AT I-10 INTERSECTION          IMPROVEMENT CITY-PARISH PROJECT NO. 06-CS-HC-0033 STATE PROJECT NO. 258-32-0022 PER COUNCIL          RESOLUTION NO. 45679 AND WRITTEN CONTRACT.,417378.52,1,JB,417378.52,PO0716470001
D,PO151271,16,******INTERNAL CHANGE ORDER NO. 2 *********        TERMINAL BUILDING GENERATOR                        RESOLUTION NO. 51639,49493,1,JB,49493,PO1512710016
D,PO150837,1,PRINTER; HP COLOR LASER JET PRO MFP M277DW         B3Q11A#BGJ. STATE CONTRACT #404160 LINE #1        PER QUOTE #10471202-2                              **MARK FOR S. STEPHENS/DHDS ADMIN/HEAD START/        RYAN WHITE,411.13,6,EA,2466.78,PO1508370001
D,PO071647,2,**********CHANGE ORDER NO. 1**********             SUPPLEMENTAL AGREEMENT NO. 1 PER COUNCIL           RESOLUTION NO. 47300 AND WRITTEN CONTRACT.,18326.08,1,JB,18326.08,PO0716470002
